,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
167,36.2432,27.9739,2023-08-11,2016,not fire,0.8761,0.6015
168,39.7727,19.8722,2023-08-14,937,not fire,0.7372,0.5373
169,36.0474,27.8921,2023-08-05,1943,not fire,0.9026,0.5345
170,40.9227,25.8804,2023-08-21,1926,fire,0.8239,0.5172
171,38.0279,24.5443,2023-07-14,857,not fire,0.5775,0.3303
172,39.4046,22.3778,2023-08-26,1205,not fire,0.7644,0.5182
173,41.1792,25.5293,2023-08-22,1148,fire,0.7421,0.4564
174,36.1251,27.9168,2023-08-13,857,not fire,0.8941,0.6061
175,36.0665,27.9358,2023-07-13,817,not fire,0.9036,0.708
176,40.9592,26.0615,2023-08-12,902,not fire,0.7919,0.4522
177,40.9506,25.7432,2023-08-23,943,fire,0.5323,0.3069
178,41.0025,25.9124,2023-08-22,2007,fire,0.7819,0.4512
179,38.1234,23.6995,2023-08-22,2006,fire,0.5436,0.3224
180,40.9491,25.6961,2023-08-22,2007,fire,0.4931,0.2924
181,40.8849,25.8502,2023-08-12,43,not fire,0.8901,0.5775
182,36.2218,28.0248,2023-07-04,8,not fire,0.8423,0.5838
183,41.2185,26.2204,2023-08-21,27,not fire,0.7788,0.5347
184,36.0839,27.9426,2023-07-12,2016,not fire,0.9042,0.6214
185,38.1236,23.468,2023-07-18,808,fire,0.7167,0.4571
186,40.9878,25.9761,2023-08-21,1926,fire,0.864,0.4831
187,40.9066,25.6741,2023-08-02,2007,not fire,0.3343,0.2099
188,41.1136,26.197,2023-08-22,2007,fire,0.6791,0.4812
189,40.9831,25.8249,2023-08-12,2007,not fire,0.7964,0.5121
190,36.1013,27.9461,2023-07-13,1919,not fire,0.8936,0.5913
191,36.2414,27.9526,2023-08-01,2016,not fire,0.8744,0.5925
192,36.0294,27.8845,2023-07-06,841,not fire,0.8598,0.5744
193,40.8136,21.5619,2023-08-18,920,not fire,0.4086,0.2582
194,38.1412,23.647,2023-08-04,1133,not fire,0.6647,0.4088
195,38.1274,23.446,2023-08-07,1154,not fire,0.7657,0.4768
196,41.0239,26.1396,2023-08-12,43,not fire,0.7573,0.4966
197,36.1685,27.9425,2023-08-02,1919,not fire,0.8253,0.4901
198,40.9856,25.8915,2023-08-22,1148,fire,0.766,0.4248
199,36.1219,27.9578,2023-08-01,2016,not fire,0.8413,0.5777
200,41.1112,26.1985,2023-08-12,902,not fire,0.7386,0.5625
201,38.3234,22.7534,2023-08-22,1147,fire,0.8678,0.7085
202,40.9005,25.9564,2023-08-20,919,fire,0.8303,0.5196
203,38.0373,23.4094,2023-07-08,1912,not fire,0.6794,0.4124
