latitude,longitude,acq_date,acq_time,class,NDVI,EVI
41.1871,-7.9548,2023-02-17,1113,not fire,0.7362,0.2358
37.3934,-8.7277,2023-08-27,2259,not fire,-0.3,-0.3
39.7543,-7.8194,2023-08-15,1441,not fire,-0.3,-0.3
37.4637,-8.6989,2023-08-27,1425,not fire,-0.3,-0.3
37.439,-8.747,2023-08-27,1425,not fire,-0.3,-0.3
39.7758,-7.7428,2023-08-15,1035,not fire,-0.3,-0.3
37.3831,-8.6836,2023-08-27,2122,not fire,-0.3,-0.3
37.4099,-8.7135,2023-08-16,2219,not fire,-0.3,-0.3
37.3818,-8.7394,2023-08-17,1425,not fire,-0.3,-0.3
41.6038,-7.9618,2023-02-11,2146,fire,0.5545,0.2195
37.4029,-8.7619,2023-08-17,1425,not fire,-0.3,-0.3
37.3874,-8.6471,2023-08-17,2259,not fire,-0.3,-0.3
39.7523,-7.7559,2023-08-16,240,not fire,-0.3,-0.3
37.3968,-8.725,2023-08-27,1019,not fire,-0.3,-0.3
37.4579,-8.7018,2023-08-27,2300,not fire,-0.3,-0.3
39.7318,-7.8069,2023-08-15,336,not fire,-0.3,-0.3
40.9028,-7.8128,2023-08-17,1049,not fire,0.6773,0.3666
41.69,-8.0291,2023-02-04,1106,not fire,0.4026,0.1647
37.4718,-8.7387,2023-08-27,1425,not fire,-0.3,-0.3
40.5337,-7.7729,2023-08-03,2226,not fire,0.5956,0.4106
41.6684,-8.1165,2023-02-24,2211,not fire,0.5731,0.213
37.4637,-8.6989,2023-08-17,1425,not fire,-0.3,-0.3
41.6727,-8.353,2023-02-27,1359,not fire,0.6416,0.3617
37.3955,-8.685,2023-08-27,2259,not fire,-0.3,-0.3
39.7343,-8.5355,2023-08-23,2226,fire,-0.3,-0.3
39.7479,-7.8294,2023-08-15,1035,not fire,-0.3,-0.3
41.2021,-7.8838,2023-08-22,222,fire,0.62,0.2613
39.7428,-8.6535,2023-08-16,2219,not fire,-0.3,-0.3
39.7659,-7.7643,2023-08-25,1035,not fire,-0.3,-0.3
39.7475,-7.8178,2023-08-24,2236,not fire,-0.3,-0.3
39.7522,-7.758,2023-08-15,336,not fire,-0.3,-0.3
42.0345,-8.1279,2023-02-25,2234,not fire,0.4851,0.264
39.7758,-7.7428,2023-08-25,1035,not fire,-0.3,-0.3
37.4368,-8.7391,2023-08-26,1344,not fire,-0.3,-0.3
37.4248,-8.6696,2023-08-26,2219,not fire,-0.3,-0.3
37.4579,-8.7018,2023-08-17,2300,not fire,-0.3,-0.3
37.4443,-8.6908,2023-08-17,1425,not fire,-0.3,-0.3
39.7663,-7.7584,2023-08-25,158,not fire,-0.3,-0.3
40.2101,-7.8194,2023-02-16,1316,fire,0.6197,0.3668
37.4417,-8.681,2023-08-17,1019,not fire,-0.3,-0.3
39.726,-8.5281,2023-08-23,2226,fire,-0.3,-0.3
39.7311,-7.7707,2023-08-15,1035,not fire,-0.3,-0.3
41.5956,-7.9539,2023-02-11,2146,fire,0.506,0.1369
37.3896,-8.6678,2023-08-18,226,not fire,-0.3,-0.3
37.462,-8.7178,2023-08-27,1425,not fire,-0.3,-0.3
37.4258,-8.7646,2023-08-17,1425,not fire,-0.3,-0.3
37.4654,-8.713,2023-08-27,1425,not fire,-0.3,-0.3
37.3967,-8.7028,2023-08-17,1425,not fire,-0.3,-0.3
37.4223,-8.703,2023-08-16,1344,not fire,-0.3,-0.3
37.3785,-8.7405,2023-08-28,1329,not fire,-0.3,-0.3
41.0627,-8.1266,2023-08-18,1059,not fire,0.5066,0.2872
41.6516,-6.5686,2023-08-30,2147,not fire,0.5337,0.2829
40.1137,-7.4179,2023-08-25,1106,fire,0.4251,0.254
40.6183,-7.6836,2023-08-17,321,not fire,0.7053,0.4057
40.9709,-8.0574,2023-02-15,1129,not fire,0.6515,0.3379
39.763,-7.7764,2023-08-14,2236,not fire,-0.3,-0.3
